frame,team,id,x,y
3,home,1,-45.4,2.0
3,home,2,-28.3,-22.1
3,home,3,-28.9,-10.1
3,home,4,-30.9,5.0
3,home,5,-33.2,19.8
3,home,6,-15.0,-20.1
3,home,7,-15.2,-5.0
3,home,8,-13.8,10.0
3,home,9,-11.5,22.3
3,home,10,8.7,-9.7
3,home,11,9.7,8.1
3,away,1,50.9,-1.9
3,away,2,33.1,-25.0
3,away,3,30.7,-10.4
3,away,4,28.8,7.6
3,away,5,28.3,23.8
3,away,6,9.5,-17.0
3,away,7,11.7,-4.5
3,away,8,14.0,7.6
3,away,9,15.2,18.4
3,away,10,-3.2,7.1
3,away,11,-5.0,-12.6
4,ball,0,1.1,20.7
4,home,1,-45.2,2.0
4,home,2,-28.2,-22.1
4,home,3,-28.9,-10.2
4,home,4,-30.9,5.0
4,home,5,-33.2,19.9
4,home,6,-14.9,-20.0
4,home,7,-15.1,-4.9
4,home,8,-13.7,10.0
4,home,9,-11.3,22.2
4,home,10,8.8,-9.8
4,home,11,9.8,8.1
4,away,1,50.8,-2.0
4,away,2,32.9,-25.0
4,away,3,30.5,-10.3
4,away,4,28.7,7.6
4,away,5,28.3,23.8
4,away,6,9.5,-17.0
4,away,7,11.8,-4.6
4,away,8,14.0,7.6
4,away,9,15.2,18.3
4,away,10,-3.3,7.1
4,away,11,-5.1,-12.6
5,ball,0,1.4,21.0
5,home,1,-45.1,1.9
5,home,2,-28.2,-22.2
5,home,3,-28.9,-10.2
5,home,4,-30.9,5.0
5,home,5,-33.3,19.9
5,home,6,-14.9,-20.0
5,home,7,-15.0,-4.9
5,home,8,-13.5,10.0
5,home,9,-11.2,22.2
5,home,10,8.9,-9.8
5,home,11,9.8,8.0
5,away,1,50.6,-2.0
5,away,2,32.8,-25.0
5,away,3,30.4,-10.3
5,away,4,28.6,7.7
5,away,5,28.2,23.9
5,away,6,9.5,-17.0
5,away,7,11.8,-4.6
5,away,8,14.0,7.5
5,away,9,15.1,18.3
5,away,10,-3.4,7.1
5,away,11,-5.3,-12.5
6,ball,0,1.7,21.3
6,home,1,-45.0,1.9
6,home,2,-28.1,-22.3
6,home,3,-28.8,-10.3
6,home,4,-30.9,5.0
6,home,5,-33.3,20.0
6,home,6,-14.8,-19.9
6,home,7,-14.9,-4.9
6,home,8,-13.4,10.0
6,home,9,-11.0,22.2
6,home,10,9.1,-9.9
6,home,11,9.9,8.0
6,away,1,50.5,-2.0
6,away,2,32.6,-25.0
6,away,3,30.2,-10.3
6,away,4,28.5,7.7
6,away,5,28.2,23.9
6,away,6,9.5,-17.0
6,away,7,11.8,-4.6
6,away,8,14.0,7.4
6,away,9,15.1,18.2
6,away,10,-3.5,7.0
6,away,11,-5.4,-12.5
7,ball,0,1.9,21.6
7,home,1,-44.9,1.8
7,home,2,-28.0,-22.3
7,home,3,-28.8,-10.3
7,home,4,-30.9,5.0
7,home,5,-33.3,20.0
7,home,6,-14.8,-19.9
7,home,7,-14.8,-4.8
7,home,8,-13.3,10.0
7,home,9,-10.9,22.1
7,home,10,9.2,-10.0
7,home,11,10.0,7.9
7,away,1,50.4,-2.1
7,away,2,32.5,-25.0
7,away,3,30.1,-10.2
7,away,4,28.4,7.8
7,away,5,28.1,23.9
7,away,6,9.5,-17.0
7,away,7,11.8,-4.7
7,away,8,14.0,7.4
7,away,9,15.0,18.2
7,away,10,-3.6,7.0
7,away,11,-5.6,-12.5
8,ball,0,2.2,22.0
8,home,1,-44.7,1.8
8,home,2,-27.9,-22.4
8,home,3,-28.8,-10.3
8,home,4,-30.9,5.0
8,home,5,-33.3,20.1
8,home,6,-14.8,-19.8
8,home,7,-14.7,-4.8
8,home,8,-13.1,10.0
8,home,9,-10.7,22.1
8,home,10,9.3,-10.0
8,home,11,10.1,7.9
8,away,1,50.3,-2.1
8,away,2,32.3,-25.0
8,away,3,29.9,-10.2
8,away,4,28.3,7.9
8,away,5,28.1,24.0
8,away,6,9.5,-17.0
8,away,7,11.8,-4.7
8,away,8,14.0,7.3
8,away,9,14.9,18.2
8,away,10,-3.7,7.0
8,away,11,-5.7,-12.4
9,ball,0,2.5,22.3
9,home,1,-44.6,1.7
9,home,2,-27.9,-22.4
9,home,3,-28.8,-10.4
9,home,4,-30.9,5.0
9,home,5,-33.3,20.1
9,home,6,-14.7,-19.7
9,home,7,-14.6,-4.7
9,home,8,-13.0,10.0
9,home,9,-10.6,22.0
9,home,10,9.4,-10.1
9,home,11,10.1,7.9
9,away,1,50.2,-2.2
9,away,2,32.2,-25.0
9,away,3,29.8,-10.1
9,away,4,28.2,7.9
9,away,5,28.0,24.0
9,away,6,9.5,-17.0
9,away,7,11.8,-4.7
9,away,8,13.9,7.3
9,away,9,14.9,18.1
9,away,10,-3.9,7.0
9,away,11,-5.9,-12.4
10,ball,0,2.8,22.6
10,home,1,-44.5,1.7
10,home,2,-27.8,-22.5
10,home,3,-28.8,-10.4
10,home,4,-30.9,5.0
10,home,5,-33.3,20.1
10,home,6,-14.7,-19.7
10,home,7,-14.5,-4.7
10,home,8,-12.8,10.0
10,home,9,-10.4,22.0
10,home,10,9.5,-10.1
10,home,11,10.2,7.8
10,away,1,50.1,-2.2
10,away,2,32.0,-25.0
10,away,3,29.7,-10.1
10,away,4,28.1,8.0
10,away,5,28.0,24.1
10,away,6,9.5,-17.0
10,away,7,11.8,-4.8
10,away,8,13.9,7.2
10,away,9,14.8,18.1
10,away,10,-4.0,7.0
10,away,11,-6.0,-12.3
11,ball,0,3.1,22.9
11,home,1,-44.4,1.7
11,home,2,-27.7,-22.6
11,home,3,-28.8,-10.5
11,home,4,-30.9,5.0
11,home,5,-33.3,20.2
11,home,6,-14.6,-19.6
11,home,7,-14.4,-4.7
11,home,8,-12.7,10.0
11,home,9,-10.3,21.9
11,home,10,9.7,-10.2
11,home,11,10.2,7.8
11,away,1,49.9,-2.2
11,away,2,31.9,-25.0
11,away,3,29.5,-10.1
11,away,4,28.0,8.0
11,away,5,27.9,24.1
11,away,6,9.5,-17.0
11,away,7,11.8,-4.8
11,away,8,13.9,7.1
11,away,9,14.7,18.0
11,away,10,-4.1,7.0
11,away,11,-6.2,-12.3
12,ball,0,3.3,23.2
12,home,1,-44.3,1.6
12,home,2,-27.7,-22.6
12,home,3,-28.7,-10.5
12,home,4,-30.9,5.0
12,home,5,-33.2,20.2
12,home,6,-14.6,-19.6
12,home,7,-14.3,-4.6
12,home,8,-12.5,10.0
12,home,9,-10.1,21.9
12,home,10,9.8,-10.2
12,home,11,10.3,7.7
12,away,1,49.8,-2.3
12,away,2,31.7,-25.0
12,away,3,29.4,-10.0
12,away,4,27.9,8.1
12,away,5,27.9,24.2
12,away,6,9.5,-17.0
12,away,7,11.8,-4.9
12,away,8,13.9,7.1
12,away,9,14.7,18.0
12,away,10,-4.2,7.0
12,away,11,-6.3,-12.3
13,ball,0,3.6,23.4
13,home,1,-44.1,1.6
13,home,2,-27.6,-22.7
13,home,3,-28.7,-10.5
13,home,4,-31.0,5.1
13,home,5,-33.2,20.3
13,home,6,-14.5,-19.5
13,home,7,-14.2,-4.6
13,home,8,-12.4,10.0
13,home,9,-10.0,21.9
13,home,10,9.9,-10.3
13,home,11,10.4,7.7
13,away,1,49.7,-2.3
13,away,2,31.6,-25.0
13,away,3,29.2,-10.0
13,away,4,27.8,8.2
13,away,5,27.9,24.2
13,away,6,9.5,-17.0
13,away,7,11.9,-4.9
13,away,8,13.9,7.0
13,away,9,14.6,17.9
13,away,10,-4.3,7.0
13,away,11,-6.5,-12.2
14,ball,0,3.9,23.7
14,home,1,-44.0,1.5
14,home,2,-27.6,-22.7
14,home,3,-28.7,-10.6
14,home,4,-31.0,5.1
14,home,5,-33.2,20.3
14,home,6,-14.5,-19.4
14,home,7,-14.1,-4.6
14,home,8,-12.2,10.0
14,home,9,-9.8,21.8
14,home,10,10.0,-10.4
14,home,11,10.4,7.7
14,away,1,49.6,-2.4
14,away,2,31.4,-25.0
14,away,3,29.1,-9.9
14,away,4,27.7,8.2
14,away,5,27.8,24.2
14,away,6,9.5,-17.0
14,away,7,11.9,-4.9
14,away,8,13.9,7.0
14,away,9,14.5,17.9
14,away,10,-4.5,7.0
14,away,11,-6.6,-12.2
15,ball,0,4.2,24.0
15,home,1,-43.9,1.4
15,home,2,-27.5,-22.8
15,home,3,-28.7,-10.6
15,home,4,-31.0,5.1
15,home,5,-33.2,20.4
15,home,6,-14.4,-19.4
15,home,7,-14.0,-4.5
15,home,8,-12.1,10.0
15,home,9,-9.7,21.8
15,home,10,10.1,-10.4
15,home,11,10.5,7.6
15,away,1,49.4,-2.4
15,away,2,31.3,-25.0
15,away,3,29.0,-9.9
15,away,4,27.6,8.3
15,away,5,27.8,24.3
15,away,6,9.5,-17.0
15,away,7,11.9,-5.0
15,away,8,13.8,6.9
15,away,9,14.4,17.8
15,away,10,-4.6,7.0
15,away,11,-6.8,-12.1
16,ball,0,4.5,24.3
16,home,1,-43.8,1.4
16,home,2,-27.5,-22.8
16,home,3,-28.7,-10.6
16,home,4,-31.0,5.1
16,home,5,-33.2,20.4
16,home,6,-14.4,-19.3
16,home,7,-13.9,-4.5
16,home,8,-12.0,9.9
16,home,9,-9.6,21.7
16,home,10,10.2,-10.5
16,home,11,10.5,7.6
16,away,1,49.3,-2.4
16,away,2,31.1,-25.0
16,away,3,28.8,-9.8
16,away,4,27.5,8.3
16,away,5,27.7,24.3
16,away,6,9.5,-17.0
16,away,7,11.9,-5.0
16,away,8,13.8,6.8
16,away,9,14.4,17.8
16,away,10,-4.7,7.0
16,away,11,-6.9,-12.1
17,ball,0,4.8,24.5
17,home,1,-43.7,1.3
17,home,2,-27.4,-22.9
17,home,3,-28.7,-10.6
17,home,4,-31.0,5.1
17,home,5,-33.2,20.5
17,home,6,-14.3,-19.3
17,home,7,-13.7,-4.5
17,home,8,-11.8,9.9
17,home,9,-9.4,21.7
17,home,10,10.3,-10.5
17,home,11,10.6,7.6
17,away,1,49.2,-2.5
17,away,2,31.0,-25.0
17,away,3,28.7,-9.8
17,away,4,27.4,8.4
17,away,5,27.7,24.4
17,away,6,9.5,-17.0
17,away,7,11.9,-5.1
17,away,8,13.8,6.8
17,away,9,14.3,17.8
17,away,10,-4.9,7.0
17,away,11,-7.1,-12.1
18,ball,0,5.0,24.8
18,home,1,-43.6,1.3
18,home,2,-27.4,-23.0
18,home,3,-28.7,-10.7
18,home,4,-31.0,5.1
18,home,5,-33.2,20.5
18,home,6,-14.2,-19.2
18,home,7,-13.6,-4.4
18,home,8,-11.7,9.9
18,home,9,-9.3,21.6
18,home,10,10.4,-10.6
18,home,11,10.6,7.5
18,away,1,49.1,-2.5
18,away,2,30.8,-24.9
18,away,3,28.6,-9.7
18,away,4,27.3,8.5
18,away,5,27.7,24.4
18,away,6,9.5,-17.0
18,away,7,11.9,-5.1
18,away,8,13.8,6.7
18,away,9,14.2,17.7
18,away,10,-5.0,7.0
18,away,11,-7.2,-12.0
19,ball,0,5.3,25.0
19,home,1,-43.5,1.2
19,home,2,-27.3,-23.0
19,home,3,-28.7,-10.7
19,home,4,-31.0,5.1
19,home,5,-33.2,20.6
19,home,6,-14.2,-19.2
19,home,7,-13.5,-4.4
19,home,8,-11.5,9.9
19,home,9,-9.1,21.6
19,home,10,10.5,-10.7
19,home,11,10.7,7.5
19,away,1,48.9,-2.5
19,away,2,30.7,-24.9
19,away,3,28.4,-9.7
19,away,4,27.2,8.5
19,away,5,27.7,24.4
19,away,6,9.5,-17.0
19,away,7,11.9,-5.2
19,away,8,13.7,6.7
19,away,9,14.1,17.7
19,away,10,-5.1,7.0
19,away,11,-7.4,-12.0
20,ball,0,5.6,25.3
20,home,1,-43.4,1.2
20,home,2,-27.3,-23.1
20,home,3,-28.7,-10.7
20,home,4,-31.0,5.2
20,home,5,-33.2,20.6
20,home,6,-14.1,-19.1
20,home,7,-13.4,-4.4
20,home,8,-11.4,9.9
20,home,9,-9.0,21.5
20,home,10,10.6,-10.7
20,home,11,10.7,7.5
20,away,1,48.8,-2.6
20,away,2,30.5,-24.9
20,away,3,28.3,-9.6
20,away,4,27.1,8.6
20,away,5,27.6,24.5
20,away,6,9.5,-17.0
20,away,7,11.9,-5.2
20,away,8,13.7,6.6
20,away,9,14.0,17.6
20,away,10,-5.2,7.0
20,away,11,-7.5,-11.9
21,ball,0,5.9,25.5
21,home,1,-43.3,1.1
21,home,2,-27.2,-23.1
21,home,3,-28.7,-10.7
21,home,4,-31.1,5.2
21,home,5,-33.2,20.7
21,home,6,-14.0,-19.0
21,home,7,-13.3,-4.3
21,home,8,-11.2,9.9
21,home,9,-8.8,21.5
21,home,10,10.7,-10.8
21,home,11,10.8,7.4
21,away,1,48.7,-2.6
21,away,2,30.4,-24.9
21,away,3,28.2,-9.6
21,away,4,27.1,8.6
21,away,5,27.6,24.5
21,away,6,9.5,-17.0
21,away,7,11.9,-5.3
21,away,8,13.7,6.5
21,away,9,13.9,17.6
21,away,10,-5.4,7.0
21,away,11,-7.7,-11.9
22,ball,0,6.2,25.8
22,home,1,-43.2,1.1
22,home,2,-27.2,-23.2
22,home,3,-28.7,-10.8
22,home,4,-31.1,5.2
22,home,5,-33.1,20.8
22,home,6,-14.0,-19.0
22,home,7,-13.1,-4.3
22,home,8,-11.1,9.9
22,home,9,-8.7,21.4
22,home,10,10.8,-10.8
22,home,11,10.8,7.4
22,away,1,48.5,-2.6
22,away,2,30.2,-24.9
22,away,3,28.0,-9.5
22,away,4,27.0,8.7
22,away,5,27.6,24.5
22,away,6,9.5,-17.1
22,away,7,11.9,-5.3
22,away,8,13.6,6.5
22,away,9,13.9,17.6
22,away,10,-5.5,7.0
22,away,11,-7.8,-11.8
23,ball,0,6.4,26.0
23,home,1,-43.1,1.0
23,home,2,-27.1,-23.2
23,home,3,-28.7,-10.8
23,home,4,-31.1,5.2
23,home,5,-33.1,20.8
23,home,6,-13.9,-18.9
23,home,7,-13.0,-4.3
23,home,8,-10.9,9.8
23,home,9,-8.6,21.4
23,home,10,10.9,-10.9
23,home,11,10.8,7.4
23,away,1,48.4,-2.7
23,away,2,30.1,-24.9
23,away,3,27.9,-9.5
23,away,4,26.9,8.7
23,away,5,27.6,24.6
23,away,6,9.5,-17.1
23,away,7,11.9,-5.4
23,away,8,13.6,6.4
23,away,9,13.8,17.5
23,away,10,-5.7,7.0
23,away,11,-8.0,-11.8
24,ball,0,6.7,26.2
24,home,1,-43.0,1.0
24,home,2,-27.1,-23.3
24,home,3,-28.7,-10.8
24,home,4,-31.1,5.3
24,home,5,-33.1,20.9
24,home,6,-13.8,-18.9
24,home,7,-12.9,-4.3
24,home,8,-10.8,9.8
24,home,9,-8.4,21.3
24,home,10,11.0,-10.9
24,home,11,10.9,7.3
24,away,1,48.3,-2.7
24,away,2,29.9,-24.9
24,away,3,27.8,-9.4
24,away,4,26.8,8.8
24,away,5,27.5,24.6
24,away,6,9.6,-17.1
24,away,7,11.9,-5.4
24,away,8,13.6,6.4
24,away,9,13.7,17.5
24,away,10,-5.8,7.0
24,away,11,-8.1,-11.7
25,ball,0,7.0,26.4
25,home,1,-42.9,0.9
25,home,2,-27.1,-23.3
25,home,3,-28.7,-10.8
25,home,4,-31.1,5.3
25,home,5,-33.1,20.9
25,home,6,-13.8,-18.8
25,home,7,-12.8,-4.2
25,home,8,-10.6,9.8
25,home,9,-8.3,21.2
25,home,10,11.1,-11.0
25,home,11,10.9,7.3
25,away,1,48.1,-2.7
25,away,2,29.8,-24.8
25,away,3,27.7,-9.4
25,away,4,26.8,8.9
25,away,5,27.5,24.6
25,away,6,9.6,-17.1
25,away,7,11.9,-5.5
25,away,8,13.5,6.3
25,away,9,13.6,17.5
25,away,10,-5.9,7.1
25,away,11,-8.3,-11.7
26,ball,0,7.3,26.6
26,home,1,-42.8,0.8
26,home,2,-27.0,-23.4
26,home,3,-28.7,-10.9
26,home,4,-31.1,5.3
26,home,5,-33.1,21.0
26,home,6,-13.7,-18.8
26,home,7,-12.7,-4.2
26,home,8,-10.5,9.8
26,home,9,-8.2,21.2
26,home,10,11.2,-11.1
26,home,11,11.0,7.3
26,away,1,48.0,-2.7
26,away,2,29.6,-24.8
26,away,3,27.5,-9.3
26,away,4,26.7,8.9
26,away,5,27.5,24.6
26,away,6,9.6,-17.1
26,away,7,11.9,-5.5
26,away,8,13.5,6.3
26,away,9,13.5,17.4
26,away,10,-6.1,7.1
26,away,11,-8.4,-11.6
27,ball,0,7.6,26.8
27,home,1,-42.7,0.8
27,home,2,-27.0,-23.4
27,home,3,-28.7,-10.9
27,home,4,-31.1,5.3
27,home,5,-33.0,21.0
27,home,6,-13.6,-18.7
27,home,7,-12.5,-4.2
27,home,8,-10.3,9.8
27,home,9,-8.0,21.1
27,home,10,11.3,-11.1
27,home,11,11.0,7.3
27,away,1,47.8,-2.8
27,away,2,29.5,-24.8
27,away,3,27.4,-9.3
27,away,4,26.6,9.0
27,away,5,27.5,24.7
27,away,6,9.6,-17.1
27,away,7,11.9,-5.6
27,away,8,13.4,6.2
27,away,9,13.4,17.4
27,away,10,-6.2,7.1
27,away,11,-8.6,-11.6
28,ball,0,7.8,27.0
28,home,1,-42.6,0.7
28,home,2,-27.0,-23.5
28,home,3,-28.7,-10.9
28,home,4,-31.1,5.4
28,home,5,-33.0,21.1
28,home,6,-13.5,-18.7
28,home,7,-12.4,-4.2
28,home,8,-10.2,9.7
28,home,9,-7.9,21.1
28,home,10,11.4,-11.2
28,home,11,11.0,7.2
28,away,1,47.7,-2.8
28,away,2,29.3,-24.8
28,away,3,27.3,-9.2
28,away,4,26.6,9.0
28,away,5,27.5,24.7
28,away,6,9.6,-17.2
28,away,7,11.9,-5.6
28,away,8,13.4,6.1
28,away,9,13.3,17.4
28,away,10,-6.3,7.1
28,away,11,-8.7,-11.5
29,ball,0,8.1,27.2
29,home,1,-42.6,0.7
29,home,2,-26.9,-23.5
29,home,3,-28.7,-10.9
29,home,4,-31.1,5.4
29,home,5,-33.0,21.1
29,home,6,-13.4,-18.6
29,home,7,-12.3,-4.2
29,home,8,-10.0,9.7
29,home,9,-7.8,21.0
29,home,10,11.5,-11.2
29,home,11,11.0,7.2
29,away,1,47.6,-2.8
29,away,2,29.2,-24.8
29,away,3,27.2,-9.2
29,away,4,26.5,9.1
29,away,5,27.5,24.7
29,away,6,9.6,-17.2
29,away,7,11.9,-5.7
29,away,8,13.4,6.1
29,away,9,13.2,17.4
29,away,10,-6.5,7.1
29,away,11,-8.9,-11.5
30,ball,0,8.4,27.4
30,home,1,-42.5,0.6
30,home,2,-26.9,-23.6
30,home,3,-28.7,-10.9
30,home,4,-31.1,5.4
30,home,5,-33.0,21.2
30,home,6,-13.4,-18.6
30,home,7,-12.1,-4.1
30,home,8,-9.9,9.7
30,home,9,-7.6,21.0
30,home,10,11.5,-11.3
30,home,11,11.1,7.2
30,away,1,47.4,-2.8
30,away,2,29.0,-24.7
30,away,3,27.1,-9.1
30,away,4,26.4,9.1
30,away,5,27.4,24.8
30,away,6,9.6,-17.2
30,away,7,11.9,-5.7
30,away,8,13.3,6.0
30,away,9,13.1,17.3
30,away,10,-6.6,7.1
30,away,11,-9.0,-11.4
31,ball,0,8.7,27.6
31,home,1,-42.4,0.6
31,home,2,-26.9,-23.7
31,home,3,-28.8,-10.9
31,home,4,-31.2,5.4
31,home,5,-32.9,21.3
31,home,6,-13.3,-18.5
31,home,7,-12.0,-4.1
31,home,8,-9.7,9.6
31,home,9,-7.5,20.9
31,home,10,11.6,-11.3
31,home,11,11.1,7.2
31,away,1,47.3,-2.8
31,away,2,28.9,-24.7
31,away,3,26.9,-9.1
31,away,4,26.4,9.2
31,away,5,27.4,24.8
31,away,6,9.6,-17.2
31,away,7,11.9,-5.8
31,away,8,13.3,6.0
31,away,9,13.0,17.3
31,away,10,-6.8,7.2
31,away,11,-9.2,-11.4
32,ball,0,9.0,27.8
32,home,1,-42.3,0.5
32,home,2,-26.8,-23.7
32,home,3,-28.8,-10.9
32,home,4,-31.2,5.5
32,home,5,-32.9,21.3
32,home,6,-13.2,-18.5
32,home,7,-11.9,-4.1
32,home,8,-9.6,9.6
32,home,9,-7.4,20.9
32,home,10,11.7,-11.4
32,home,11,11.1,7.2
32,away,1,47.1,-2.9
32,away,2,28.7,-24.7
32,away,3,26.8,-9.0
32,away,4,26.3,9.3
32,away,5,27.4,24.8
32,away,6,9.6,-17.2
32,away,7,11.9,-5.8
32,away,8,13.2,5.9
32,away,9,12.9,17.3
32,away,10,-6.9,7.2
32,away,11,-9.3,-11.3
33,ball,0,9.2,28.0
33,home,1,-42.2,0.4
33,home,2,-26.8,-23.7
33,home,3,-28.8,-11.0
33,home,4,-31.2,5.5
33,home,5,-32.9,21.4
33,home,6,-13.1,-18.4
33,home,7,-11.7,-4.1
33,home,8,-9.4,9.6
33,home,9,-7.2,20.8
33,home,10,11.8,-11.4
33,home,11,11.1,7.1
33,away,1,47.0,-2.9
33,away,2,28.6,-24.7
33,away,3,26.7,-8.9
33,away,4,26.3,9.3
33,away,5,27.4,24.8
33,away,6,9.7,-17.3
33,away,7,11.9,-5.9
33,away,8,13.2,5.9
33,away,9,12.8,17.3
33,away,10,-7.1,7.2
33,away,11,-9.5,-11.3
34,ball,0,9.5,28.1
34,home,1,-42.2,0.4
34,home,2,-26.8,-23.8
34,home,3,-28.8,-11.0
34,home,4,-31.2,5.5
34,home,5,-32.8,21.4
34,home,6,-13.0,-18.4
34,home,7,-11.6,-4.1
34,home,8,-9.3,9.6
34,home,9,-7.1,20.7
34,home,10,11.8,-11.5
34,home,11,11.2,7.1
34,away,1,46.8,-2.9
34,away,2,28.4,-24.6
34,away,3,26.6,-8.9
34,away,4,26.2,9.4
34,away,5,27.4,24.8
34,away,6,9.7,-17.3
34,away,7,11.9,-5.9
34,away,8,13.1,5.8
34,away,9,12.7,17.2
34,away,10,-7.2,7.2
34,away,11,-9.6,-11.2
35,ball,0,9.8,28.3
35,home,1,-42.1,0.3
35,home,2,-26.8,-23.8
35,home,3,-28.8,-11.0
35,home,4,-31.2,5.6
35,home,5,-32.8,21.5
35,home,6,-12.9,-18.3
35,home,7,-11.5,-4.1
35,home,8,-9.1,9.5
35,home,9,-7.0,20.7
35,home,10,11.9,-11.5
35,home,11,11.2,7.1
35,away,1,46.7,-2.9
35,away,2,28.3,-24.6
35,away,3,26.5,-8.8
35,away,4,26.2,9.4
35,away,5,27.4,24.9
35,away,6,9.7,-17.3
35,away,7,11.9,-6.0
35,away,8,13.0,5.8
35,away,9,12.5,17.2
35,away,10,-7.4,7.2
35,away,11,-9.7,-11.2
36,ball,0,10.1,28.4
36,home,1,-42.0,0.3
36,home,2,-26.8,-23.9
36,home,3,-28.8,-11.0
36,home,4,-31.2,5.6
36,home,5,-32.8,21.6
36,home,6,-12.8,-18.3
36,home,7,-11.3,-4.0
36,home,8,-9.0,9.5
36,home,9,-6.9,20.6
36,home,10,12.0,-11.6
36,home,11,11.2,7.1
36,away,1,46.6,-2.9
36,away,2,28.2,-24.6
36,away,3,26.4,-8.8
36,away,4,26.1,9.5
36,away,5,27.4,24.9
36,away,6,9.7,-17.3
36,away,7,11.9,-6.1
36,away,8,13.0,5.7
36,away,9,12.4,17.2
36,away,10,-7.5,7.3
36,away,11,-9.9,-11.1
37,ball,0,10.3,28.6
37,home,1,-41.9,0.2
37,home,2,-26.7,-23.9
37,home,3,-28.8,-11.0
37,home,4,-31.2,5.6
37,home,5,-32.7,21.6
37,home,6,-12.7,-18.2
37,home,7,-11.2,-4.0
37,home,8,-8.8,9.5
37,home,9,-6.8,20.6
37,home,10,12.1,-11.6
37,home,11,11.2,7.1
37,away,1,46.4,-2.9
37,away,2,28.0,-24.5
37,away,3,26.3,-8.7
37,away,4,26.1,9.5
37,away,5,27.4,24.9
37,away,6,9.7,-17.4
37,away,7,11.9,-6.1
37,away,8,12.9,5.6
37,away,9,12.3,17.2
37,away,10,-7.6,7.3
37,away,11,-10.0,-11.1
38,ball,0,10.6,28.7
38,home,1,-41.9,0.1
38,home,2,-26.7,-24.0
38,home,3,-28.8,-11.0
38,home,4,-31.2,5.7
38,home,5,-32.7,21.7
38,home,6,-12.6,-18.2
38,home,7,-11.1,-4.0
38,home,8,-8.7,9.4
38,home,9,-6.6,20.5
38,home,10,12.1,-11.7
38,home,11,11.2,7.1
38,away,1,46.3,-2.9
38,away,2,27.9,-24.5
38,away,3,26.2,-8.7
38,away,4,26.0,9.6
38,away,5,27.4,24.9
38,away,6,9.7,-17.4
38,away,7,11.9,-6.2
38,away,8,12.9,5.6
38,away,9,12.2,17.1
38,away,10,-7.8,7.3
38,away,11,-10.2,-11.0
39,ball,0,10.9,28.8
39,home,1,-41.8,0.1
39,home,2,-26.7,-24.0
39,home,3,-28.8,-11.0
39,home,4,-31.2,5.7
39,home,5,-32.6,21.7
39,home,6,-12.5,-18.1
39,home,7,-10.9,-4.0
39,home,8,-8.5,9.4
39,home,9,-6.5,20.5
39,home,10,12.2,-11.7
39,home,11,11.2,7.1
39,away,1,46.1,-3.0
39,away,2,27.7,-24.5
39,away,3,26.1,-8.6
39,away,4,26.0,9.6
39,away,5,27.4,24.9
39,away,6,9.7,-17.4
39,away,7,11.9,-6.2
39,away,8,12.8,5.5
39,away,9,12.1,17.1
39,away,10,-7.9,7.3
39,away,11,-10.3,-11.0
40,ball,0,11.2,28.9
40,home,1,-41.7,0.0
40,home,2,-26.7,-24.1
40,home,3,-28.9,-11.0
40,home,4,-31.2,5.8
40,home,5,-32.6,21.8
40,home,6,-12.4,-18.1
40,home,7,-10.8,-4.0
40,home,8,-8.4,9.4
40,home,9,-6.4,20.4
40,home,10,12.2,-11.8
