timestamp,AccY
3.90,-1.645
3.92,-1.694
3.94,-1.934
3.96,-1.846
3.98,-2.096
4.00,-1.899
4.02,-1.530
4.04,-1.394
4.06,-1.616
4.08,-1.067
4.10,-1.543
4.12,-0.821
4.14,-1.038
4.16,-0.711
4.18,-0.714
4.20,-0.190
4.22,-0.805
4.24,-0.497
4.26,0.027
4.28,-0.304
4.30,0.137
4.32,0.309
4.34,0.335
4.36,0.515
4.38,0.805
4.40,0.924
4.42,1.196
4.44,1.232
4.46,1.204
4.48,0.965
4.50,1.443
4.52,2.033
4.54,1.129
4.56,2.085
4.58,2.055
4.60,2.071
4.62,1.619
4.64,2.067
4.66,2.034
4.68,2.298
4.70,1.657
4.72,1.992
4.74,1.350
4.76,1.450
4.78,1.408
4.80,1.380
4.82,1.021
4.84,1.587
4.86,1.372
4.88,1.047
4.90,0.831
4.92,0.594
4.94,0.941
4.96,0.522
4.98,-0.196
5.00,-0.093
5.02,0.008
5.04,-0.825
5.06,-0.813
5.08,-1.025
5.10,-0.872
5.12,-0.638
5.14,-1.244
5.16,-1.631
5.18,-1.461
5.20,-1.324
5.22,-1.316
5.24,-1.970
5.26,-1.514
5.28,-1.862
5.30,-1.480
5.32,-1.256
5.34,-1.733
5.36,-1.894
5.38,-2.082
5.40,-1.476
5.42,-1.818
5.44,-1.470
5.46,-1.566
5.48,-1.404
5.50,-1.604
5.52,-0.879
5.54,-1.372
5.56,-0.621
5.58,-0.787
5.60,-0.558
5.62,-0.539
5.64,-0.699
5.66,-0.479
5.68,0.041
5.70,0.080
5.72,0.132
5.74,0.256
5.76,0.595
5.78,0.606
5.80,0.916
5.82,0.952
5.84,0.516
5.86,1.397
5.88,1.142
5.90,1.745
5.92,1.158
5.94,1.290
5.96,1.562
5.98,1.845
6.00,1.447
6.02,1.959
6.04,1.711
6.06,1.725
6.08,1.677
6.10,1.670
6.12,1.651
6.14,1.956
6.16,1.710
6.18,1.726
6.20,1.161
6.22,0.886
6.24,1.707
6.26,1.738
6.28,1.326
6.30,1.126
6.32,0.516
6.34,0.833
6.36,0.328
6.38,0.720
6.40,0.150
6.42,0.045
6.44,-0.220
6.46,-0.497
6.48,-0.408
6.50,-0.775
6.52,-0.732
6.54,-0.701
6.56,-1.216
6.58,-0.907
6.60,-1.162
6.62,-1.456
6.64,-0.877
6.66,-1.543
6.68,-1.876
6.70,-1.124
6.72,-1.787
6.74,-1.405
6.76,-1.307
6.78,-2.170
6.80,-2.007
6.82,-2.024
6.84,-1.436
6.86,-1.742
6.88,-1.579
6.90,-1.689
6.92,-1.699
6.94,-1.739
6.96,-1.627
6.98,-1.265
7.00,-1.246
7.02,-1.224
7.04,-1.067
7.06,-0.739
7.08,-0.229
7.10,-0.239
7.12,0.200
7.14,0.265
7.16,-0.100
7.18,-0.081
7.20,0.134
7.22,0.719
7.24,0.497
7.26,0.670
7.28,0.950
7.30,1.565
7.32,1.001
7.34,0.870
7.36,1.506
7.38,1.624
7.40,1.811
7.42,1.648
7.44,1.907
7.46,2.323
7.48,1.703
7.50,1.895
7.52,1.859
7.54,2.028
7.56,2.178
7.58,1.712
7.60,1.518
7.62,1.598
7.64,1.300
7.66,1.181
7.68,1.333
7.70,1.395
7.72,0.930
7.74,1.084
7.76,0.529
7.78,0.606
7.80,0.628
7.82,0.350
7.84,0.340
7.86,-0.154
7.88,-0.021
7.90,0.098
7.92,-0.435
7.94,-0.455
7.96,-1.172
7.98,-1.341
8.00,2.584
8.02,2.783
8.04,3.301
8.06,3.427
8.08,4.128
8.10,4.686
8.12,4.723
8.14,4.862
8.16,5.148
8.18,6.106
8.20,4.511
8.22,4.956
8.24,4.139
8.26,3.751
8.28,3.512
8.30,3.329
8.32,2.817
8.34,2.398
8.36,2.661
8.38,2.275
8.40,2.174
8.42,2.455
8.44,2.736
8.46,2.750
8.48,3.398
8.50,2.994
8.52,2.822
8.54,3.039
8.56,2.961
8.58,2.692
8.60,2.102
8.62,1.720
8.64,1.949
8.66,0.438
8.68,0.210
8.70,-0.740
8.72,-0.592
8.74,-0.575
8.76,-0.752
8.78,-1.389
8.80,-1.055
8.82,-1.946
8.84,-1.358
8.86,-0.388
8.88,-1.090
8.90,-0.247
8.92,-1.272
8.94,-0.852
8.96,-0.446
8.98,-1.704
9.00,-2.052
9.02,-1.659
9.04,-2.425
9.06,-2.121
9.08,-3.924
9.10,-4.872
9.12,-4.125
9.14,-4.310
9.16,-4.477
9.18,-4.691
9.20,-3.525
9.22,-3.705
9.24,-3.553
9.26,-3.310
9.28,-3.282
9.30,-2.285
9.32,-2.933
9.34,-2.775
9.36,-3.135
9.38,-3.394
9.40,-2.885
9.42,-4.135
9.44,-4.957
9.46,-4.585
9.48,-4.744
9.50,-5.159
9.52,-4.950
9.54,-4.485
9.56,-4.698
9.58,-4.201
9.60,-3.907
9.62,-3.415
9.64,-2.916
9.66,-2.083
9.68,-1.720
9.70,-1.598
9.72,-1.428
9.74,-0.748
9.76,-0.832
9.78,-1.493
9.80,-1.318
9.82,-2.493
9.84,-2.498
9.86,-2.456
9.88,-2.265
9.90,-1.991
9.92,-1.819
9.94,-1.949
9.96,-1.286
9.98,-0.887
10.00,0.284
10.02,0.718
10.04,1.470
10.06,1.612
10.08,1.783
10.10,1.559
10.12,2.514
10.14,2.195
10.16,2.354
10.18,1.595
10.20,1.961
10.22,2.025
10.24,1.157
10.26,1.751
10.28,1.454
10.30,1.407
10.32,1.593
10.34,2.689
10.36,2.514
10.38,2.755
10.40,4.505
10.42,4.307
10.44,4.547
10.46,4.363
10.48,4.785
10.50,5.021
10.52,4.742
10.54,5.027
10.56,4.619
10.58,4.135
10.60,3.575
10.62,2.732
10.64,3.187
10.66,3.054
10.68,3.073
10.70,2.916
10.72,2.766
10.74,3.604
10.76,2.851
10.78,3.672
10.80,4.241
10.82,4.363
10.84,4.753
10.86,4.214
10.88,4.090
10.90,3.806
10.92,3.520
10.94,2.649
10.96,2.534
10.98,2.235
11.00,1.710
11.02,1.469
11.04,0.875
11.06,1.138
11.08,0.076
11.10,0.241
11.12,0.782
11.14,1.693
11.16,0.466
11.18,1.244
11.20,1.451
11.22,0.906
11.24,0.572
11.26,1.674
11.28,1.139
11.30,0.336
11.32,0.082
11.34,-0.826
11.36,-1.489
11.38,-2.058
11.40,-2.703
11.42,-3.118
11.44,-3.144
11.46,-2.826
11.48,-3.291
11.50,-2.856
11.52,-3.067
11.54,-2.559
11.56,-2.510
11.58,-2.580
11.60,-1.564
11.62,-1.666
11.64,-1.518
11.66,-2.161
11.68,-2.735
11.70,-3.518
11.72,-3.451
11.74,-3.460
11.76,-4.358
11.78,-5.128
11.80,-5.416
11.82,-6.047
11.84,-4.805
11.86,-4.588
11.88,-4.831
11.90,-4.215
11.92,-4.109
11.94,-3.934
11.96,-3.404
11.98,-3.380
12.00,-2.377
12.02,-3.096
12.04,-2.050
12.06,-2.424
12.08,-3.485
12.10,-2.839
12.12,-3.083
12.14,-3.447
12.16,-4.001
12.18,-4.004
12.20,-3.495
12.22,-3.889
12.24,-3.633
12.26,-3.301
12.28,-2.799
12.30,-2.260
12.32,-1.850
12.34,-1.001
12.36,-0.383
12.38,0.052
12.40,0.173
12.42,0.447
12.44,0.111
12.46,0.134
12.48,0.113
12.50,-0.730
12.52,-0.319
12.54,-0.227
12.56,-0.370
12.58,-0.630
12.60,-0.580
12.62,0.029
12.64,0.363
12.66,1.169
12.68,1.101
12.70,2.226
12.72,2.444
12.74,3.308
12.76,3.844
12.78,3.321
12.80,3.780
12.82,4.036
12.84,4.212
12.86,3.655
12.88,2.859
12.90,3.541
12.92,3.122
12.94,2.385
12.96,2.572
12.98,2.623
13.00,2.772
13.02,2.548
13.04,3.118
13.06,3.627
13.08,4.322
13.10,4.105
13.12,4.606
13.14,5.036
13.16,5.166
13.18,5.124
13.20,4.989
13.22,4.484
13.24,4.367
13.26,3.899
13.28,3.577
13.30,2.553
13.32,2.948
13.34,1.804
13.36,1.384
13.38,2.176
13.40,2.475
13.42,2.416
13.44,1.986
13.46,2.790
13.48,3.255
13.50,3.383
13.52,2.881
13.54,2.631
13.56,3.281
13.58,2.787
13.60,2.135
13.62,1.715
13.64,1.621
13.66,0.871
13.68,0.367
13.70,-0.541
13.72,-0.349
13.74,-1.158
13.76,-1.255
13.78,-0.803
13.80,-1.084
13.82,-1.546
13.84,-1.475
13.86,-0.708
13.88,-0.316
13.90,-1.685
13.92,-0.820
13.94,-0.730
13.96,-0.559
13.98,-1.004
14.00,-2.415
14.02,-2.118
14.04,-2.860
14.06,-1.964
14.08,-3.797
14.10,-3.704
14.12,-4.031
14.14,-4.306
14.16,-5.076
14.18,-4.310
14.20,-4.973
14.22,-4.058
14.24,-3.627
14.26,-3.785
14.28,-3.543
14.30,-2.673
14.32,-2.848
14.34,-2.807
14.36,-3.397
14.38,-3.798
14.40,-3.891
14.42,-3.515
14.44,-4.237
14.46,-4.946
14.48,-3.876
14.50,-4.939
14.52,-4.757
14.54,-5.217
14.56,-4.647
14.58,-4.026
14.60,-4.080
14.62,-2.722
14.64,-2.101
14.66,-2.042
14.68,-1.369
14.70,-2.021
14.72,-1.790
14.74,-1.749
14.76,-1.530
14.78,-1.182
14.80,-2.295
14.82,-1.542
14.84,-1.881
14.86,-2.146
14.88,-2.533
14.90,-2.208
14.92,-1.971
14.94,-2.414
14.96,-1.072
14.98,-0.830
15.00,-0.495
15.02,0.660
15.04,1.262
15.06,1.937
15.08,2.177
15.10,2.314
15.12,2.135
15.14,1.967
15.16,1.555
15.18,1.882
15.20,1.361
15.22,2.243
15.24,1.225
15.26,1.568
15.28,2.167
15.30,1.526
15.32,1.820
15.34,1.962
15.36,2.453
15.38,3.428
15.40,3.845
15.42,3.459
15.44,4.323
15.46,5.348
15.48,4.324
15.50,4.619
15.52,4.561
15.54,5.052
15.56,4.851
15.58,4.353
15.60,3.740
15.62,3.138
15.64,2.485
15.66,2.305
15.68,2.170
15.70,2.757
15.72,3.344
15.74,3.288
15.76,3.835
15.78,3.870
15.80,4.329
15.82,4.477
15.84,4.000
15.86,5.070
15.88,4.176
15.90,4.364
15.92,4.080
15.94,3.798
15.96,2.320
15.98,1.569
16.00,2.235
16.02,1.502
16.04,1.029
16.06,0.770
16.08,0.662
16.10,-0.223
16.12,0.130
16.14,0.775
16.16,1.266
16.18,0.671
16.20,0.860
16.22,1.471
16.24,1.346
16.26,0.962
16.28,0.553
16.30,-0.657
16.32,0.459
16.34,-0.994
16.36,-1.298
16.38,-1.601
16.40,-1.747
16.42,-2.279
16.44,-3.277
16.46,-3.580
16.48,-2.366
16.50,-3.549
16.52,-2.741
16.54,-2.628
16.56,-2.367
16.58,-2.023
16.60,-2.334
16.62,-2.245
16.64,-2.106
16.66,-1.744
16.68,-2.601
16.70,-2.942
16.72,-2.921
16.74,-4.691
16.76,-4.489
16.78,-5.323
16.80,-4.927
16.82,-4.950
16.84,-5.437
16.86,-5.118
16.88,-4.632
16.90,-4.440
16.92,-4.704
16.94,-3.903
16.96,-3.207
16.98,-2.968
17.00,-2.606
17.02,-2.347
17.04,-2.544
17.06,-2.669
17.08,-2.166
17.10,-2.280
17.12,-3.333
17.14,-4.141
17.16,-3.737
17.18,-3.941
17.20,-3.847
17.22,-3.572
17.24,-3.581
17.26,-3.140
17.28,-2.177
17.30,-1.737
17.32,-1.379
17.34,-0.488
17.36,-0.747
17.38,0.063
17.40,0.563
17.42,0.433
17.44,0.468
17.46,0.167
17.48,0.273
17.50,0.023
17.52,-0.195
17.54,-0.115
17.56,-0.654
17.58,-0.429
17.60,-0.074
17.62,0.073
17.64,0.085
17.66,0.668
17.68,1.496
17.70,1.996
17.72,2.837
17.74,3.253
17.76,3.687
17.78,3.597
17.80,4.349
17.82,4.316
17.84,3.453
17.86,3.330
17.88,2.815
17.90,3.194
17.92,2.399
17.94,3.046
17.96,2.435
17.98,2.427
18.00,-1.543
18.02,-1.382
18.04,-0.797
18.06,-1.832
18.08,-1.913
18.10,-1.444
18.12,-1.914
18.14,-0.965
18.16,0.041
18.18,-0.953
18.20,-0.152
18.22,-0.836
18.24,1.161
18.26,1.301
18.28,1.482
18.30,1.679
18.32,1.938
18.34,1.370
18.36,1.286
18.38,2.146
18.40,1.201
18.42,3.298
18.44,2.257
18.46,1.074
18.48,1.501
18.50,1.395
18.52,1.899
18.54,2.119
18.56,0.558
18.58,-0.159
18.60,-0.018
18.62,1.195
18.64,0.746
18.66,0.337
18.68,-1.639
18.70,-0.937
18.72,-1.417
18.74,-1.199
18.76,-3.533
18.78,0.230
18.80,-1.482
18.82,-3.124
18.84,-3.142
18.86,-1.921
18.88,-2.916
18.90,-0.874
18.92,-1.908
18.94,-3.478
18.96,-2.351
18.98,-1.837
19.00,-0.905
19.02,-1.261
19.04,-1.356
19.06,-0.908
19.08,1.391
19.10,1.064
19.12,1.064
19.14,0.822
19.16,1.443
19.18,0.005
19.20,-0.819
19.22,2.062
19.24,2.468
19.26,-0.282
19.28,2.403
19.30,1.540
19.32,2.363
19.34,0.719
19.36,2.746
19.38,2.411
19.40,2.297
19.42,0.565
19.44,-0.357
19.46,2.210
19.48,1.067
19.50,1.322
19.52,0.308
19.54,-0.113
19.56,2.148
19.58,0.760
19.60,-0.265
19.62,-0.742
19.64,-0.445
19.66,-1.570
19.68,-2.256
19.70,-2.157
19.72,-3.912
19.74,-2.016
19.76,-1.463
19.78,-1.129
19.80,-1.624
19.82,-1.150
19.84,-1.455
19.86,-1.146
19.88,-0.752
19.90,-1.844
19.92,-2.402
19.94,-0.700
19.96,0.062
19.98,0.895
20.00,0.149
20.02,-5.516
20.04,5.693
20.06,-6.159
20.08,-5.051
20.10,-3.471
20.12,-4.504
20.14,4.919
20.16,-5.667
20.18,-3.924
20.20,6.591
20.22,8.409
20.24,-2.773
20.26,-3.591
20.28,5.856
20.30,7.281
20.32,6.585
20.34,-4.830
20.36,-6.318
20.38,7.293
20.40,6.570
20.42,6.239
20.44,-6.268
20.46,6.499
20.48,5.600
20.50,5.517
20.52,4.905
20.54,-5.553
20.56,5.472
20.58,-7.500
20.60,3.631
20.62,-8.467
20.64,-7.471
20.66,-9.500
20.68,-5.469
20.70,5.371
20.72,3.277
20.74,-9.500
20.76,4.952
20.78,-7.572
20.80,6.421
20.82,5.264
20.84,3.625
20.86,6.179
20.88,-6.617
20.90,-6.571
20.92,7.664
20.94,-6.295
20.96,8.088
20.98,-5.115
21.00,7.926
21.02,-4.622
21.04,7.792
21.06,8.166
21.08,7.736
21.10,-2.491
21.12,-3.237
21.14,-3.072
21.16,7.921
21.18,-6.067
21.20,9.150
21.22,-4.525
21.24,7.435
21.26,6.602
21.28,-3.205
21.30,5.303
21.32,-4.505
21.34,5.512
21.36,4.790
21.38,5.916
21.40,5.516
21.42,4.576
21.44,5.373
21.46,3.096
21.48,3.534
21.50,5.825
21.52,-7.662
21.54,-6.849
21.56,-6.093
21.58,4.997
21.60,-9.244
21.62,-8.382
21.64,2.773
21.66,-7.036
21.68,3.646
21.70,-6.698
21.72,-8.094
21.74,6.050
21.76,-6.999
21.78,-5.366
21.80,-5.106
21.82,4.684
21.84,7.173
21.86,-5.190
21.88,-3.705
21.90,6.703
21.92,-5.833
21.94,-5.353
21.96,7.608
21.98,9.270
22.00,3.027
22.02,1.875
22.04,2.707
22.06,2.830
22.08,2.211
22.10,2.741
22.12,1.217
22.14,3.148
22.16,1.796
22.18,2.487
22.20,2.021
22.22,0.557
22.24,0.167
22.26,-2.135
22.28,-0.493
22.30,-0.467
22.32,-0.406
22.34,0.756
22.36,-0.851
22.38,-1.289
22.40,-1.258
22.42,-1.046
22.44,-1.691
22.46,-2.110
22.48,-1.378
22.50,-2.266
22.52,-0.335
22.54,-1.850
22.56,-2.476
22.58,-3.000
22.60,-0.076
22.62,-1.630
22.64,-1.769
22.66,-1.811
22.68,-0.649
22.70,-1.209
22.72,0.752
22.74,0.464
22.76,0.623
22.78,0.566
22.80,0.218
22.82,0.985
22.84,1.543
22.86,0.735
22.88,0.971
22.90,3.472
22.92,1.848
22.94,1.502
22.96,1.396
22.98,2.687
23.00,1.745
23.02,1.669
23.04,1.391
23.06,2.224
23.08,1.979
23.10,0.491
23.12,0.027
23.14,1.077
23.16,-0.181
23.18,0.270
23.20,0.789
23.22,-0.822
23.24,0.002
23.26,-0.121
23.28,-1.735
23.30,-1.858
23.32,-2.396
23.34,-1.690
23.36,-2.938
23.38,-1.726
23.40,-3.822
23.42,-2.513
23.44,-1.476
23.46,-2.849
23.48,-1.027
23.50,-2.155
23.52,-2.250
23.54,-0.819
23.56,-2.159
23.58,-1.576
23.60,-1.028
23.62,-0.158
23.64,-1.368
23.66,2.296
23.68,0.378
23.70,0.899
23.72,0.483
23.74,1.597
23.76,1.810
23.78,1.969
23.80,1.116
23.82,0.890
23.84,1.183
23.86,2.463
23.88,2.878
23.90,1.324
23.92,2.219
23.94,2.924
23.96,2.805
23.98,1.259
24.00,1.548
24.02,1.172
24.04,0.579
24.06,0.036
24.08,0.018
24.10,0.163
24.12,-1.231
24.14,-0.022
24.16,-0.183
24.18,-0.439
24.20,-1.310
24.22,-2.518
24.24,-0.369
24.26,-0.505
24.28,-2.069
24.30,-2.981
24.32,-2.696
24.34,-1.769
24.36,-1.435
24.38,-3.482
24.40,-0.691
24.42,-0.289
24.44,-1.721
24.46,-0.441
24.48,-0.758
24.50,-0.076
24.52,-0.613
24.54,-0.308
24.56,1.026
24.58,1.262
24.60,0.620
24.62,0.644
24.64,-0.226
24.66,0.684
24.68,0.901
24.70,0.568
24.72,0.567
24.74,2.814
24.76,0.679
24.78,0.188
24.80,1.352
24.82,1.348
24.84,3.015
24.86,2.201
24.88,1.729
24.90,0.460
24.92,1.686
24.94,2.169
24.96,0.597
24.98,0.094
25.00,0.199
25.02,-6.501
25.04,6.011
25.06,5.989
25.08,5.568
25.10,4.169
25.12,3.269
25.14,2.868
25.16,-8.056
25.18,-8.123
25.20,-8.106
25.22,3.853
25.24,4.250
25.26,-8.519
25.28,4.281
25.30,3.430
25.32,-7.780
25.34,-7.892
25.36,4.562
25.38,4.739
25.40,7.222
25.42,-5.815
25.44,-5.751
25.46,6.407
25.48,4.181
25.50,-6.254
25.52,-3.978
25.54,-5.861
25.56,7.620
25.58,7.748
25.60,-4.725
25.62,8.306
25.64,8.381
25.66,-4.827
25.68,-3.643
25.70,-4.568
25.72,-5.612
25.74,8.863
25.76,-4.619
25.78,-4.261
25.80,7.287
25.82,-3.790
25.84,-5.308
25.86,-6.188
25.88,5.394
25.90,4.372
25.92,-7.736
25.94,4.876
25.96,-7.331
25.98,-7.144
26.00,-7.785
26.02,-6.169
26.04,3.613
26.06,4.039
26.08,4.124
26.10,-8.485
26.12,-8.989
26.14,2.975
26.16,-9.500
26.18,-7.162
26.20,-1.474
26.22,-1.205
26.24,-1.689
26.26,-1.735
26.28,-3.080
26.30,-1.479
26.32,0.223
26.34,-1.196
26.36,-0.876
26.38,1.649
26.40,1.122
26.42,-0.052
26.44,2.224
26.46,2.538
26.48,2.151
26.50,1.355
26.52,2.828
26.54,2.049
26.56,1.267
26.58,1.288
26.60,1.769
26.62,3.208
26.64,1.437
26.66,1.714
26.68,0.975
26.70,0.446
26.72,0.295
26.74,0.130
26.76,0.179
26.78,1.779
26.80,0.771
26.82,-0.043
26.84,0.112
26.86,0.681
26.88,-1.047
26.90,-1.203
26.92,-1.473
26.94,-2.351
26.96,-1.664
26.98,-3.589
27.00,-2.285
27.02,-3.444
27.04,-2.972
27.06,-1.549
27.08,-2.085
27.10,-2.626
27.12,-0.703
27.14,-2.778
27.16,-0.532
27.18,-1.707
27.20,0.303
27.22,-0.141
27.24,-2.509
27.26,-1.210
27.28,-0.317
27.30,-0.567
27.32,1.307
27.34,0.834
27.36,0.871
27.38,2.196
27.40,2.306
27.42,1.161
27.44,1.752
27.46,1.245
27.48,1.518
27.50,1.957
27.52,1.271
27.54,2.513
27.56,2.116
27.58,1.951
27.60,1.905
27.62,2.083
27.64,0.965
27.66,0.177
27.68,-0.362
27.70,0.265
27.72,-1.004
27.74,0.442
27.76,0.333
27.78,0.401
27.80,-1.354
27.82,-0.277
27.84,-1.324
27.86,-0.591
27.88,-2.555
27.90,0.363
27.92,-3.184
27.94,-3.735
27.96,-2.620
27.98,-3.031
28.00,0.053
28.02,-0.104
28.04,0.036
28.06,0.532
28.08,0.222
28.10,0.337
28.12,0.455
28.14,0.627
28.16,1.001
28.18,0.462
28.20,1.083
28.22,1.059
28.24,1.061
28.26,1.092
28.28,1.292
28.30,1.345
28.32,1.375
28.34,1.358
28.36,1.583
28.38,1.493
28.40,1.596
28.42,1.633
28.44,1.785
28.46,1.952
28.48,2.279
28.50,2.057
28.52,2.077
28.54,1.990
28.56,2.336
28.58,2.134
28.60,2.347
28.62,2.193
28.64,2.483
28.66,2.468
28.68,2.486
28.70,2.639
28.72,2.550
28.74,2.555
28.76,2.413
28.78,2.870
28.80,2.839
28.82,2.411
28.84,2.805
28.86,2.900
28.88,2.617
28.90,2.687
28.92,2.491
28.94,2.700
28.96,3.216
28.98,2.523
29.00,2.617
29.02,2.840
29.04,2.615
29.06,2.412
29.08,2.749
29.10,2.663
29.12,2.728
29.14,2.677
29.16,2.683
29.18,2.619
29.20,2.494
29.22,2.182
29.24,2.368
29.26,2.471
29.28,2.307
29.30,2.354
29.32,2.504
29.34,2.166
29.36,2.072
29.38,2.275
29.40,2.100
29.42,2.341
29.44,1.822
29.46,1.997
29.48,1.585
29.50,1.646
29.52,1.759
29.54,1.663
29.56,1.702
29.58,1.547
29.60,1.094
29.62,1.513
29.64,1.267
29.66,1.809
29.68,1.415
29.70,1.167
29.72,0.799
29.74,0.769
29.76,1.310
29.78,0.752
29.80,0.851
29.82,0.667
29.84,0.563
29.86,0.221
29.88,0.368
29.90,0.245
29.92,0.283
29.94,0.475
29.96,0.515
29.98,-0.051
30.00,0.254
30.02,-0.058
30.04,-0.153
30.06,-0.206
30.08,-0.380
30.10,-0.522
30.12,-0.537
30.14,-0.590
30.16,-0.631
30.18,-0.514
30.20,-1.015
30.22,-0.886
30.24,-0.881
30.26,-1.196
30.28,-0.722
30.30,-1.152
30.32,-1.080
30.34,-1.075
30.36,-1.366
30.38,-1.265
30.40,-1.478
30.42,-1.657
30.44,-1.468
30.46,-1.586
30.48,-1.998
30.50,-1.592
30.52,-1.518
30.54,-1.802
30.56,-1.957
30.58,-2.008
30.60,-2.256
30.62,-2.009
30.64,-2.113
30.66,-2.067
30.68,-2.204
30.70,-2.113
30.72,-2.086
30.74,-2.204
30.76,-2.056
30.78,-2.402
30.80,-2.246
30.82,-1.987
30.84,-1.755
30.86,-2.422
30.88,-2.117
30.90,-2.163
30.92,-2.401
30.94,-2.122
30.96,-2.215
30.98,-2.234
31.00,-2.271
31.02,-2.257
31.04,-2.364
31.06,-2.309
31.08,-2.474
31.10,-2.066
31.12,-2.582
31.14,-2.126
31.16,-2.013
31.18,-2.160
31.20,-2.268
31.22,-1.974
31.24,-1.979
31.26,-2.195
31.28,-2.217
31.30,-1.914
31.32,-1.981
31.34,-1.795
31.36,-2.374
31.38,-1.896
31.40,-1.767
31.42,-1.664
31.44,-1.697
31.46,-1.607
31.48,-1.518
31.50,-1.662
31.52,-1.426
31.54,-1.179
31.56,-1.437
31.58,-1.262
31.60,-1.277
31.62,-1.171
31.64,-1.101
31.66,-1.106
31.68,-1.130
31.70,-0.967
31.72,-0.822
31.74,-1.065
31.76,-0.865
31.78,-0.512
31.80,-0.377
31.82,-0.617
31.84,-0.352
31.86,-0.598
31.88,-0.334
31.90,-0.239
31.92,-0.569
31.94,-0.164
31.96,-0.115
31.98,-0.032
32.00,-0.183
32.02,-0.199
32.04,0.127
32.06,0.137
32.08,0.238
32.10,0.325
32.12,0.329
32.14,0.628
32.16,0.460
32.18,0.835
32.20,0.864
32.22,0.224
32.24,0.629
32.26,0.915
32.28,0.978
32.30,1.009
32.32,1.085
32.34,1.208
32.36,1.148
32.38,1.006
32.40,1.092
32.42,1.009
32.44,1.555
32.46,1.459
32.48,1.739
32.50,1.671
32.52,1.652
32.54,1.541
32.56,1.612
32.58,1.494
32.60,1.636
32.62,2.069
32.64,1.903
32.66,1.698
32.68,1.704
32.70,1.865
32.72,1.743
32.74,1.699
32.76,1.898
32.78,1.984
32.80,1.703
32.82,1.827
32.84,2.215
32.86,1.955
32.88,2.056
32.90,2.010
32.92,1.756
32.94,2.015
32.96,2.122
32.98,2.035
33.00,2.029
